,Order Date,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,period,dollar,euro,yuan,Person
17,2014-05-13,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,55.5,2,0.0,9.989999999999995,2014Q2,1.0,0.7294087385180363,6.231477393648786,Anna Andreadi
18,2014-08-27,United States,San Francisco,California,94109,West,Office Supplies,Art,8.56,2,0.0,2.4823999999999993,2014Q3,1.0,0.7547542679840827,6.165513471970506,Anna Andreadi
19,2014-08-27,United States,San Francisco,California,94109,West,Technology,Phones,213.48000000000002,3,0.2,16.01099999999998,2014Q3,1.0,0.7547542679840827,6.165513471970506,Anna Andreadi
20,2014-08-27,United States,San Francisco,California,94109,West,Office Supplies,Binders,22.72,4,0.2,7.383999999999999,2014Q3,1.0,0.7547542679840827,6.165513471970506,Anna Andreadi
21,2016-12-09,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,19.459999999999997,7,0.0,5.0596,2016Q4,1.0,0.9273171427037991,6.831932034239802,Kelly Williams
22,2016-12-09,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,60.339999999999996,7,0.0,15.688400000000001,2016Q4,1.0,0.9273171427037991,6.831932034239802,Kelly Williams
23,2017-07-16,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,71.37199999999999,2,0.3,-1.0196000000000005,2017Q3,1.0,0.851586634904452,6.6708425430062315,Chuck Magee
24,2015-09-25,United States,Orem,Utah,84057,West,Furniture,Tables,1044.6299999999999,3,0.0,240.2649,2015Q3,1.0,0.8997335601734171,6.303511687777753,Anna Andreadi
25,2016-01-16,United States,Los Angeles,California,90049,West,Office Supplies,Binders,11.648000000000001,2,0.2,4.2224,2016Q1,1.0,0.9076488442800359,6.543105970193733,Anna Andreadi
26,2016-01-16,United States,Los Angeles,California,90049,West,Technology,Accessories,90.57000000000001,3,0.0,11.774100000000004,2016Q1,1.0,0.9076488442800359,6.543105970193733,Anna Andreadi
27,2015-09-17,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,3083.4300000000003,7,0.5,-1665.0522,2015Q3,1.0,0.8997335601734171,6.303511687777753,Chuck Magee
28,2015-09-17,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,9.618000000000002,2,0.7,-7.0532,2015Q3,1.0,0.8997335601734171,6.303511687777753,Chuck Magee
29,2015-09-17,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,124.20000000000002,3,0.2,15.524999999999991,2015Q3,1.0,0.8997335601734171,6.303511687777753,Chuck Magee
30,2015-09-17,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,3.2640000000000002,2,0.2,1.1015999999999997,2015Q3,1.0,0.8997335601734171,6.303511687777753,Chuck Magee
31,2015-09-17,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,86.304,6,0.2,9.709199999999989,2015Q3,1.0,0.8997335601734171,6.303511687777753,Chuck Magee
32,2015-09-17,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,6.858000000000001,6,0.7,-5.715,2015Q3,1.0,0.8997335601734171,6.303511687777753,Chuck Magee
33,2015-09-17,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,15.76,2,0.2,3.5460000000000007,2015Q3,1.0,0.8997335601734171,6.303511687777753,Chuck Magee
34,2017-10-19,United States,Houston,Texas,77095,Central,Office Supplies,Paper,29.472,3,0.2,9.946799999999998,2017Q4,1.0,0.8493925268664585,6.615411809126727,Kelly Williams
35,2016-12-08,United States,Richardson,Texas,75080,Central,Technology,Phones,1097.5440000000003,7,0.2,123.4736999999999,2016Q4,1.0,0.9273171427037991,6.831932034239802,Kelly Williams
36,2016-12-08,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,190.92,5,0.6,-147.96300000000002,2016Q4,1.0,0.9273171427037991,6.831932034239802,Kelly Williams
37,2015-12-27,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,113.328,9,0.2,35.415,2015Q4,1.0,0.9134754052931862,6.39178984110409,Kelly Williams
38,2015-12-27,United States,Houston,Texas,77041,Central,Furniture,Bookcases,532.3992,3,0.32,-46.97640000000001,2015Q4,1.0,0.9134754052931862,6.39178984110409,Kelly Williams
39,2015-12-27,United States,Houston,Texas,77041,Central,Furniture,Chairs,212.058,3,0.3,-15.146999999999991,2015Q4,1.0,0.9134754052931862,6.39178984110409,Kelly Williams
40,2015-12-27,United States,Houston,Texas,77041,Central,Technology,Phones,371.168,4,0.2,41.75639999999996,2015Q4,1.0,0.9134754052931862,6.39178984110409,Kelly Williams
41,2017-09-10,United States,Naperville,Illinois,60540,Central,Technology,Phones,147.168,4,0.2,16.556399999999996,2017Q3,1.0,0.851586634904452,6.6708425430062315,Kelly Williams
42,2016-07-17,United States,Los Angeles,California,90049,West,Office Supplies,Storage,77.88,2,0.0,3.8939999999999912,2016Q3,1.0,0.895610625275113,6.665797106273357,Anna Andreadi
43,2017-09-19,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,95.616,2,0.2,9.56160000000001,2017Q3,1.0,0.851586634904452,6.6708425430062315,Cassandra Brandow
44,2016-03-11,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,45.98,2,0.0,19.7714,2016Q1,1.0,0.9076488442800359,6.543105970193733,Kelly Williams
45,2016-03-11,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,17.46,2,0.0,8.206199999999999,2016Q1,1.0,0.9076488442800359,6.543105970193733,Kelly Williams
46,2014-10-20,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,211.96,4,0.0,8.478399999999993,2014Q4,1.0,0.8002615830550578,6.147208617199812,Kelly Williams
47,2016-06-20,United States,Dover,Delaware,19901,East,Technology,Accessories,45.0,3,0.0,4.950000000000001,2016Q2,1.0,0.885644638309327,6.534701323497689,Chuck Magee
48,2016-06-20,United States,Dover,Delaware,19901,East,Technology,Phones,21.8,2,0.0,6.104000000000001,2016Q2,1.0,0.885644638309327,6.534701323497689,Chuck Magee
49,2015-04-18,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,38.22,6,0.0,17.9634,2015Q2,1.0,0.9051672928378437,6.204053343478735,Kelly Williams
50,2015-04-18,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,75.17999999999999,6,0.0,35.334599999999995,2015Q2,1.0,0.9051672928378437,6.204053343478735,Kelly Williams
51,2015-04-18,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,6.16,2,0.0,2.9568,2015Q2,1.0,0.9051672928378437,6.204053343478735,Kelly Williams
52,2015-04-18,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,89.99,1,0.0,17.098099999999988,2015Q2,1.0,0.9051672928378437,6.204053343478735,Kelly Williams
53,2016-12-11,United States,New York City,New York,10024,East,Office Supplies,Fasteners,15.260000000000002,7,0.0,6.256600000000001,2016Q4,1.0,0.9273171427037991,6.831932034239802,Chuck Magee
54,2016-12-11,United States,New York City,New York,10024,East,Technology,Phones,1029.95,5,0.0,298.6855,2016Q4,1.0,0.9273171427037991,6.831932034239802,Chuck Magee
55,2016-06-17,United States,Troy,New York,12180,East,Office Supplies,Storage,208.56,6,0.0,52.139999999999986,2016Q2,1.0,0.885644638309327,6.534701323497689,Chuck Magee
56,2016-06-17,United States,Troy,New York,12180,East,Office Supplies,Paper,32.400000000000006,5,0.0,15.552000000000001,2016Q2,1.0,0.885644638309327,6.534701323497689,Chuck Magee
57,2016-06-17,United States,Troy,New York,12180,East,Furniture,Chairs,319.41,5,0.1,7.098000000000006,2016Q2,1.0,0.885644638309327,6.534701323497689,Chuck Magee
58,2016-06-17,United States,Troy,New York,12180,East,Office Supplies,Paper,14.56,2,0.0,6.9888,2016Q2,1.0,0.885644638309327,6.534701323497689,Chuck Magee
59,2016-06-17,United States,Troy,New York,12180,East,Technology,Accessories,30.0,2,0.0,3.3000000000000007,2016Q2,1.0,0.885644638309327,6.534701323497689,Chuck Magee
60,2016-06-17,United States,Troy,New York,12180,East,Office Supplies,Binders,48.480000000000004,4,0.2,16.362,2016Q2,1.0,0.885644638309327,6.534701323497689,Chuck Magee
61,2016-06-17,United States,Troy,New York,12180,East,Office Supplies,Art,1.68,1,0.0,0.84,2016Q2,1.0,0.885644638309327,6.534701323497689,Chuck Magee
62,2015-11-24,United States,Los Angeles,California,90004,West,Technology,Accessories,13.98,2,0.0,6.151200000000001,2015Q4,1.0,0.9134754052931862,6.39178984110409,Anna Andreadi
63,2015-11-24,United States,Los Angeles,California,90004,West,Office Supplies,Binders,25.824,6,0.2,9.3612,2015Q4,1.0,0.9134754052931862,6.39178984110409,Anna Andreadi
64,2015-11-24,United States,Los Angeles,California,90004,West,Office Supplies,Paper,146.73,3,0.0,68.9631,2015Q4,1.0,0.9134754052931862,6.39178984110409,Anna Andreadi
65,2015-11-24,United States,Los Angeles,California,90004,West,Furniture,Furnishings,79.76,4,0.0,22.332800000000006,2015Q4,1.0,0.9134754052931862,6.39178984110409,Anna Andreadi
66,2015-04-30,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,213.11499999999998,5,0.3,-15.22250000000001,2015Q2,1.0,0.9051672928378437,6.204053343478735,Kelly Williams
67,2014-12-05,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,1113.0240000000001,8,0.2,111.30239999999998,2014Q4,1.0,0.8002615830550578,6.147208617199812,Anna Andreadi
68,2014-12-05,United States,Gilbert,Arizona,85234,West,Technology,Phones,167.96800000000002,4,0.2,62.988,2014Q4,1.0,0.8002615830550578,6.147208617199812,Anna Andreadi
69,2016-06-04,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,75.88,2,0.0,35.663599999999995,2016Q2,1.0,0.885644638309327,6.534701323497689,Cassandra Brandow
70,2016-09-18,United States,New York City,New York,10009,East,Office Supplies,Binders,4.616,1,0.2,1.7309999999999999,2016Q3,1.0,0.895610625275113,6.665797106273357,Chuck Magee
71,2017-09-14,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,19.049999999999997,3,0.0,8.763,2017Q3,1.0,0.851586634904452,6.6708425430062315,Kelly Williams
72,2015-04-26,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,831.9360000000001,8,0.2,-114.39120000000003,2015Q2,1.0,0.9051672928378437,6.204053343478735,Cassandra Brandow
73,2015-04-26,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,97.04,2,0.2,1.2129999999999974,2015Q2,1.0,0.9051672928378437,6.204053343478735,Cassandra Brandow
74,2015-04-26,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,72.784,1,0.2,-18.196,2015Q2,1.0,0.9051672928378437,6.204053343478735,Cassandra Brandow
75,2017-12-09,United States,Houston,Texas,77041,Central,Office Supplies,Binders,1.2479999999999998,3,0.8,-1.9344000000000006,2017Q4,1.0,0.8493925268664585,6.615411809126727,Kelly Williams
76,2017-12-09,United States,Houston,Texas,77041,Central,Furniture,Furnishings,9.708,3,0.6,-5.8248000000000015,2017Q4,1.0,0.8493925268664585,6.615411809126727,Kelly Williams
77,2017-12-09,United States,Houston,Texas,77041,Central,Office Supplies,Storage,27.240000000000002,3,0.2,2.724000000000002,2017Q4,1.0,0.8493925268664585,6.615411809126727,Kelly Williams
78,2014-11-26,United States,Houston,Texas,77070,Central,Furniture,Furnishings,19.3,5,0.6,-14.475000000000001,2014Q4,1.0,0.8002615830550578,6.147208617199812,Kelly Williams
79,2016-06-12,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,208.16,1,0.0,56.20320000000001,2016Q2,1.0,0.885644638309327,6.534701323497689,Cassandra Brandow
80,2016-06-12,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,16.740000000000002,3,0.0,8.0352,2016Q2,1.0,0.885644638309327,6.534701323497689,Cassandra Brandow
81,2014-10-12,United States,San Francisco,California,94122,West,Office Supplies,Art,14.9,5,0.0,4.172000000000001,2014Q4,1.0,0.8002615830550578,6.147208617199812,Anna Andreadi
82,2014-10-12,United States,San Francisco,California,94122,West,Office Supplies,Storage,21.39,1,0.0,6.203099999999999,2014Q4,1.0,0.8002615830550578,6.147208617199812,Anna Andreadi
83,2015-09-03,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,200.98400000000004,7,0.2,62.807499999999976,2015Q3,1.0,0.8997335601734171,6.303511687777753,Cassandra Brandow
84,2017-11-13,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,230.376,3,0.2,-48.9549,2017Q4,1.0,0.8493925268664585,6.615411809126727,Kelly Williams
85,2017-05-28,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,301.96,2,0.0,33.215599999999995,2017Q2,1.0,0.9077416111260633,6.859820621946943,Cassandra Brandow
86,2017-10-26,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,19.99,1,0.0,6.796599999999998,2017Q4,1.0,0.8493925268664585,6.615411809126727,Kelly Williams
87,2017-10-26,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,6.16,2,0.0,2.9568,2017Q4,1.0,0.8493925268664585,6.615411809126727,Kelly Williams
88,2016-04-05,United States,Houston,Texas,77095,Central,Office Supplies,Storage,158.36800000000002,7,0.2,13.857199999999999,2016Q2,1.0,0.885644638309327,6.534701323497689,Kelly Williams
89,2016-09-17,United States,Los Angeles,California,90036,West,Office Supplies,Art,20.1,3,0.0,6.632999999999998,2016Q3,1.0,0.895610625275113,6.665797106273357,Anna Andreadi
90,2016-09-17,United States,Los Angeles,California,90036,West,Technology,Phones,73.584,2,0.2,8.278199999999998,2016Q3,1.0,0.895610625275113,6.665797106273357,Anna Andreadi
91,2016-09-17,United States,Los Angeles,California,90036,West,Office Supplies,Paper,6.48,1,0.0,3.1104000000000003,2016Q3,1.0,0.895610625275113,6.665797106273357,Anna Andreadi
92,2015-01-31,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,12.96,2,0.0,6.2208000000000006,2015Q1,1.0,0.8889961572435575,6.236691207500815,Kelly Williams
93,2015-01-31,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,53.34,3,0.0,16.535399999999996,2015Q1,1.0,0.8889961572435575,6.236691207500815,Kelly Williams
94,2015-01-31,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,32.96,2,0.0,16.1504,2015Q1,1.0,0.8889961572435575,6.236691207500815,Kelly Williams
95,2017-11-06,United States,Portland,Oregon,97206,West,Office Supplies,Binders,5.682000000000001,1,0.7,-3.7880000000000003,2017Q4,1.0,0.8493925268664585,6.615411809126727,Anna Andreadi
96,2017-11-09,United States,New York City,New York,10009,East,Furniture,Furnishings,96.53,7,0.0,40.5426,2017Q4,1.0,0.8493925268664585,6.615411809126727,Chuck Magee
97,2017-06-17,United States,San Francisco,California,94122,West,Office Supplies,Binders,51.312,3,0.2,17.9592,2017Q2,1.0,0.9077416111260633,6.859820621946943,Anna Andreadi
98,2016-09-06,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,77.88,6,0.0,22.585199999999993,2016Q3,1.0,0.895610625275113,6.665797106273357,Kelly Williams
99,2016-08-29,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,64.624,7,0.2,22.618399999999994,2016Q3,1.0,0.895610625275113,6.665797106273357,Kelly Williams
100,2016-08-29,United States,Chicago,Illinois,60610,Central,Technology,Accessories,95.97600000000001,3,0.2,-10.79730000000001,2016Q3,1.0,0.895610625275113,6.665797106273357,Kelly Williams
101,2016-08-29,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,1.7879999999999996,3,0.8,-3.0396,2016Q3,1.0,0.895610625275113,6.665797106273357,Kelly Williams
102,2016-12-01,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,23.92,4,0.0,11.7208,2016Q4,1.0,0.9273171427037991,6.831932034239802,Kelly Williams
103,2015-11-13,United States,Aurora,Colorado,80013,West,Technology,Accessories,238.89600000000002,6,0.2,-26.875800000000012,2015Q4,1.0,0.9134754052931862,6.39178984110409,Anna Andreadi
104,2015-11-13,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,102.35999999999999,3,0.2,-3.8385000000000105,2015Q4,1.0,0.9134754052931862,6.39178984110409,Anna Andreadi
105,2015-11-13,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,36.882000000000005,3,0.7,-25.8174,2015Q4,1.0,0.9134754052931862,6.39178984110409,Anna Andreadi
106,2017-11-23,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,74.11200000000001,8,0.2,17.6016,2017Q4,1.0,0.8493925268664585,6.615411809126727,Cassandra Brandow
107,2017-11-23,United States,Charlotte,North Carolina,28205,South,Technology,Phones,27.992000000000004,1,0.2,2.0993999999999993,2017Q4,1.0,0.8493925268664585,6.615411809126727,Cassandra Brandow
108,2017-11-23,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,3.3040000000000003,1,0.2,1.0737999999999999,2017Q4,1.0,0.8493925268664585,6.615411809126727,Cassandra Brandow
109,2015-10-15,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,339.96000000000004,5,0.2,67.99199999999996,2015Q4,1.0,0.9134754052931862,6.39178984110409,Kelly Williams
110,2017-12-25,United States,New York City,New York,10035,East,Furniture,Furnishings,41.96,2,0.0,10.909600000000001,2017Q4,1.0,0.8493925268664585,6.615411809126727,Chuck Magee
111,2016-11-03,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,75.96,2,0.0,22.78799999999999,2016Q4,1.0,0.9273171427037991,6.831932034239802,Kelly Williams
112,2016-11-03,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,27.240000000000002,6,0.0,13.3476,2016Q4,1.0,0.9273171427037991,6.831932034239802,Kelly Williams
113,2014-08-25,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,40.096000000000004,14,0.2,14.534799999999997,2014Q3,1.0,0.7547542679840827,6.165513471970506,Chuck Magee
114,2014-08-25,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,4.720000000000001,2,0.2,1.6519999999999997,2014Q3,1.0,0.7547542679840827,6.165513471970506,Chuck Magee
115,2014-08-25,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,23.976000000000003,3,0.2,7.492499999999999,2014Q3,1.0,0.7547542679840827,6.165513471970506,Chuck Magee
116,2014-08-25,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,130.464,6,0.2,44.0316,2014Q3,1.0,0.7547542679840827,6.165513471970506,Chuck Magee
117,2015-03-02,United States,Seattle,Washington,98103,West,Furniture,Tables,787.53,3,0.0,165.38129999999995,2015Q1,1.0,0.8889961572435575,6.236691207500815,Anna Andreadi
118,2015-04-05,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,157.79400000000004,1,0.7,-115.7156,2015Q2,1.0,0.9051672928378437,6.204053343478735,Cassandra Brandow
119,2016-06-12,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,47.04,3,0.0,18.345599999999997,2016Q2,1.0,0.885644638309327,6.534701323497689,Chuck Magee
120,2016-06-12,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,30.84,4,0.0,13.878,2016Q2,1.0,0.885644638309327,6.534701323497689,Chuck Magee
121,2016-06-12,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,226.56,6,0.0,63.436800000000005,2016Q2,1.0,0.885644638309327,6.534701323497689,Chuck Magee
122,2016-06-12,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,115.02,9,0.0,51.75899999999999,2016Q2,1.0,0.885644638309327,6.534701323497689,Chuck Magee
123,2016-06-12,United States,Wilmington,Delaware,19805,East,Technology,Phones,68.04,7,0.0,19.731599999999997,2016Q2,1.0,0.885644638309327,6.534701323497689,Chuck Magee
124,2014-12-26,United States,Houston,Texas,77041,Central,Furniture,Chairs,600.558,3,0.3,-8.579400000000078,2014Q4,1.0,0.8002615830550578,6.147208617199812,Kelly Williams
125,2014-09-20,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,617.7,6,0.5,-407.68200000000013,2014Q3,1.0,0.7547542679840827,6.165513471970506,Kelly Williams
126,2017-11-05,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,2.3880000000000003,2,0.7,-1.8308,2017Q4,1.0,0.8493925268664585,6.615411809126727,Anna Andreadi
127,2017-11-05,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,243.99200000000002,7,0.2,30.49899999999998,2017Q4,1.0,0.8493925268664585,6.615411809126727,Anna Andreadi
128,2016-11-06,United States,Los Angeles,California,90004,West,Furniture,Chairs,81.424,2,0.2,-9.160199999999996,2016Q4,1.0,0.9273171427037991,6.831932034239802,Anna Andreadi
129,2016-11-06,United States,Los Angeles,California,90004,West,Furniture,Furnishings,238.56,3,0.0,26.241599999999977,2016Q4,1.0,0.9273171427037991,6.831932034239802,Anna Andreadi
130,2017-02-02,United States,Columbus,Ohio,43229,East,Technology,Phones,59.96999999999999,5,0.4,-11.993999999999993,2017Q1,1.0,0.9392337106997731,6.8889940421963685,Chuck Magee
131,2017-02-02,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,78.304,2,0.2,29.363999999999997,2017Q1,1.0,0.9392337106997731,6.8889940421963685,Chuck Magee
132,2017-02-02,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,21.456,9,0.2,6.973199999999998,2017Q1,1.0,0.9392337106997731,6.8889940421963685,Chuck Magee
133,2016-10-13,United States,Roseville,California,95661,West,Office Supplies,Paper,20.04,3,0.0,9.6192,2016Q4,1.0,0.9273171427037991,6.831932034239802,Anna Andreadi
134,2016-10-13,United States,Roseville,California,95661,West,Office Supplies,Paper,35.44,1,0.0,16.656799999999997,2016Q4,1.0,0.9273171427037991,6.831932034239802,Anna Andreadi
135,2016-10-13,United States,Roseville,California,95661,West,Office Supplies,Art,11.52,4,0.0,3.4559999999999995,2016Q4,1.0,0.9273171427037991,6.831932034239802,Anna Andreadi
136,2016-10-13,United States,Roseville,California,95661,West,Office Supplies,Fasteners,4.02,2,0.0,1.9697999999999998,2016Q4,1.0,0.9273171427037991,6.831932034239802,Anna Andreadi
137,2016-10-13,United States,Roseville,California,95661,West,Office Supplies,Binders,76.176,3,0.2,26.661599999999996,2016Q4,1.0,0.9273171427037991,6.831932034239802,Anna Andreadi
138,2016-10-13,United States,Roseville,California,95661,West,Office Supplies,Supplies,65.88,6,0.0,18.446400000000004,2016Q4,1.0,0.9273171427037991,6.831932034239802,Anna Andreadi
139,2016-10-13,United States,Roseville,California,95661,West,Furniture,Furnishings,43.120000000000005,14,0.0,20.697599999999998,2016Q4,1.0,0.9273171427037991,6.831932034239802,Anna Andreadi
140,2016-09-05,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,82.80000000000001,2,0.2,10.349999999999994,2016Q3,1.0,0.895610625275113,6.665797106273357,Chuck Magee
141,2017-09-18,United States,San Francisco,California,94122,West,Office Supplies,Art,8.82,3,0.0,2.3814,2017Q3,1.0,0.851586634904452,6.6708425430062315,Anna Andreadi
142,2017-09-18,United States,San Francisco,California,94122,West,Office Supplies,Envelopes,10.86,3,0.0,5.1042000000000005,2017Q3,1.0,0.851586634904452,6.6708425430062315,Anna Andreadi
143,2017-09-18,United States,San Francisco,California,94122,West,Office Supplies,Paper,143.7,3,0.0,68.976,2017Q3,1.0,0.851586634904452,6.6708425430062315,Anna Andreadi
144,2017-12-22,United States,Independence,Missouri,64055,Central,Office Supplies,Appliances,839.4300000000001,3,0.0,218.25179999999997,2017Q4,1.0,0.8493925268664585,6.615411809126727,Kelly Williams
145,2015-09-07,United States,Pasadena,California,91104,West,Office Supplies,Storage,671.93,7,0.0,20.157899999999998,2015Q3,1.0,0.8997335601734171,6.303511687777753,Anna Andreadi
146,2014-10-22,United States,Newark,Ohio,43055,East,Furniture,Furnishings,93.888,4,0.2,12.90959999999999,2014Q4,1.0,0.8002615830550578,6.147208617199812,Chuck Magee
147,2016-12-05,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,384.45000000000005,11,0.0,103.80150000000003,2016Q4,1.0,0.9273171427037991,6.831932034239802,Kelly Williams
148,2016-12-05,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,149.97,3,0.0,5.9987999999999815,2016Q4,1.0,0.9273171427037991,6.831932034239802,Kelly Williams
149,2016-12-05,United States,Franklin,Wisconsin,53132,Central,Furniture,Chairs,1951.84,8,0.0,585.5519999999999,2016Q4,1.0,0.9273171427037991,6.831932034239802,Kelly Williams
